id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed
388,1134,Amex,Credit,324640473359364.00,3/24/2026,659,YES,2,"$7,200 ",1/20/2026,2020
3708,1296,Mastercard,Debit,5033428838471720.00,2/20/2026,546,YES,2,"$22,660 ",7/4/2026,2007
3087,1296,Discover,Credit,6969946254132650.00,12/22/2026,588,YES,1,"$19,800 ",5/11/2026,2011
67,1296,Mastercard,Credit,5181226307106930.00,11/24/2026,820,YES,2,"$15,500 ",1/5/2026,2014
80,1296,Visa,Debit (Prepaid),4310689470082080.00,6/23/2026,458,YES,1,$13 ,1/5/2026,2008
3665,1296,Mastercard,Debit,5051066154001740.00,6/21/2026,526,YES,2,"$4,317 ",7/1/2026,2011
2014,1880,Mastercard,Debit,5456915066505060.00,12/21/2026,553,NO,1,"$14,719 ",3/1/2000,2008
4906,1880,Mastercard,Debit,5132664334960880.00,5/21/2026,593,YES,1,"$9,532 ",9/17/2026,2017
3757,1880,Mastercard,Credit,5752873844240560.00,3/20/2026,486,YES,1,"$10,900 ",7/6/2026,2014
5365,322,Mastercard,Credit,5494228198326750.00,9/24/2026,428,YES,2,"$6,200 ",11/1/2026,2012
5425,322,Mastercard,Debit,5789639625525450.00,12/12/2026,43,YES,2,"$2,903 ",11/5/2026,2011
5758,322,Mastercard,Debit,5392957769023380.00,10/20/2026,803,YES,2,"$4,355 ",12/1/1999,2010
5482,461,Mastercard,Debit,5182820825620430.00,4/21/2026,126,YES,1,"$28,963 ",11/7/2026,2012
3172,461,Mastercard,Debit,5102353988152900.00,12/22/2026,667,YES,2,"$20,913 ",5/16/2026,2016
1209,461,Mastercard,Debit,5033135709911480.00,7/24/2026,170,YES,1,"$23,344 ",2/10/2026,2010
5313,461,Mastercard,Debit,5611522756791990.00,1/20/2026,882,YES,2,"$33,642 ",10/16/2026,2016
4762,1165,Mastercard,Debit,5037404409791940.00,1/22/2026,681,YES,1,"$14,695 ",9/10/2026,2011
126,1448,Mastercard,Credit,5571363047071890.00,9/23/2026,510,YES,1,"$13,200 ",1/7/2026,2015
4685,1448,Visa,Debit,4083033843851770.00,1/20/2026,173,YES,1,"$29,950 ",9/8/2026,2013
5907,1448,Visa,Credit,4829916759482890.00,7/24/2026,768,YES,2,"$4,600 ",12/7/2026,2011
2428,1288,Mastercard,Debit,5458492483408540.00,12/22/2026,92,YES,1,"$10,051 ",4/2/2026,2011
1013,1288,Mastercard,Debit,5879094230635420.00,12/15/2026,729,YES,2,"$9,796 ",2/3/2026,2013
5145,1178,Mastercard,Debit,5769435406360320.00,10/21/2026,957,YES,1,"$17,826 ",10/9/2026,2009
5854,1178,Mastercard,Debit,5588799529406910.00,11/24/2026,778,YES,1,"$19,086 ",12/6/2026,2009
5296,1178,Visa,Debit,4410685608952630.00,6/24/2026,265,YES,2,"$17,345 ",10/14/2026,2014
1327,1178,Visa,Debit,4470822684089910.00,9/20/2026,923,YES,2,"$17,976 ",2/13/2026,2013
383,1178,Visa,Debit,4804338444306720.00,1/22/2026,279,YES,2,"$16,447 ",1/19/2026,2019
5129,1391,Visa,Debit,4194362281636450.00,10/24/2026,271,YES,2,"$29,573 ",10/8/2026,2009
5995,1391,Mastercard,Debit (Prepaid),5436469451844820.00,12/21/2026,48,YES,2,$98 ,12/10/2026,2010
4107,1391,Mastercard,Debit,5648865641388290.00,8/19/2026,71,YES,2,"$2,559 ",8/2/2026,2012
36,1391,Mastercard,Debit,5914243757284140.00,10/12/2026,436,YES,2,"$6,552 ",1/3/2026,2010
445,838,Mastercard,Credit,5193780952753620.00,1/21/2026,591,YES,2,"$13,800 ",1/20/2026,2020
1466,54,Mastercard,Debit,5957925302951750.00,8/20/2026,746,YES,1,"$16,375 ",2/20/2026,2020
749,54,Visa,Debit,4557061225558440.00,5/23/2026,780,YES,1,"$14,213 ",1/20/2026,2020
1772,54,Visa,Debit (Prepaid),4883222888293060.00,9/20/2026,2,YES,1,$73 ,2/20/2026,2020
3801,1452,Mastercard,Debit,5476407228285230.00,11/22/2026,688,YES,2,"$53,466 ",7/7/2026,2013
282,1602,Visa,Credit,4698943729070490.00,9/20/2026,450,YES,1,"$6,600 ",1/11/2026,2013
6105,1602,Mastercard,Credit,5579147219556300.00,6/22/2026,806,NO,2,"$7,200 ",12/15/2026,2015
446,1938,Mastercard,Debit,5099614207935760.00,11/20/2026,856,YES,1,"$2,868 ",1/20/2026,2020
422,1938,Discover,Credit,6177503172021500.00,5/24/2026,97,YES,1,"$3,400 ",1/20/2026,2020
5231,1492,Mastercard,Debit,5188130978534930.00,1/22/2026,446,YES,1,"$12,915 ",10/11/2026,2013
2615,1492,Visa,Debit (Prepaid),4860320285002450.00,12/23/2026,366,YES,2,$84 ,4/9/2026,2017
2776,1492,Discover,Credit,6417599205270840.00,7/21/2026,504,YES,2,"$17,600 ",4/18/2026,2018
5452,1492,Mastercard,Debit,5516722949603670.00,12/12/2026,621,YES,1,"$31,542 ",11/6/2026,2009
3563,1492,Mastercard,Debit,5891053637541510.00,2/22/2026,362,YES,2,"$23,049 ",6/13/2026,2013
6134,1492,Visa,Debit,4222570131769030.00,5/20/2026,141,YES,1,"$29,734 ",12/17/2026,2017
4818,1492,Visa,Credit,4453742478192140.00,1/20/2026,346,YES,2,"$27,000 ",9/11/2026,2016
2171,1492,Mastercard,Debit (Prepaid),5335984658439100.00,11/22/2026,320,YES,1,$18 ,3/8/2026,2010
6106,688,Mastercard,Debit,5708150083756690.00,4/23/2026,824,YES,1,"$17,848 ",12/15/2026,2015
3042,688,Mastercard,Debit,5238684130320060.00,11/22/2026,870,NO,1,"$25,563 ",5/10/2026,2010
5209,688,Visa,Credit,4740880792169370.00,4/20/2026,168,YES,2,"$12,000 ",10/10/2026,2010
1296,688,Amex,Credit,361648729239104.00,11/18/2026,709,NO,2,"$6,600 ",2/12/2026,2012
389,749,Amex,Credit,363305614201313.00,9/23/2026,943,NO,1,"$5,600 ",1/20/2026,2020
1773,749,Visa,Debit,4360859456629850.00,11/22/2026,428,YES,3,"$11,873 ",2/20/2026,2020
1467,749,Mastercard,Credit,5498016831726770.00,2/20/2026,871,YES,1,"$7,200 ",2/20/2026,2020
1395,643,Amex,Credit,381572912003735.00,8/24/2026,145,YES,1,"$10,000 ",2/20/2026,2020
5597,643,Mastercard,Credit,5079302523329050.00,4/23/2026,381,YES,2,$500 ,11/10/2026,2010
1468,1219,Mastercard,Debit,5546998350637120.00,2/20/2026,718,YES,1,"$22,697 ",2/20/2026,2020
2309,1219,Mastercard,Credit,5326031764905960.00,8/23/2026,437,YES,1,"$18,000 ",3/13/2026,2013
3466,1219,Mastercard,Debit,5096150037217370.00,10/24/2026,862,YES,1,"$32,903 ",6/10/2026,2010
2804,1198,Visa,Debit,4489873116412360.00,8/21/2026,547,YES,2,"$12,764 ",5/1/1999,2010
1388,1198,Mastercard,Credit,5621725368325860.00,10/22/2026,60,YES,1,"$6,300 ",2/19/2026,2019
4660,898,Mastercard,Debit,5923138803280580.00,2/22/2026,934,YES,2,"$7,541 ",9/8/2026,2013
3356,898,Visa,Debit,4447989421793040.00,3/22/2026,995,YES,2,"$1,266 ",6/7/2026,2012
4870,898,Mastercard,Credit,5000307662634780.00,4/20/2026,263,NO,1,"$9,500 ",9/14/2026,2014
3467,882,Mastercard,Debit,5707305515533510.00,4/20/2026,203,YES,2,"$1,837 ",6/10/2026,2010
1079,882,Mastercard,Debit,5864987017850550.00,8/23/2026,258,YES,2,"$17,453 ",2/6/2026,2008
2977,348,Visa,Debit,4228885239928180.00,10/13/2026,543,NO,1,"$28,283 ",5/8/2026,2012
3073,348,Visa,Credit,4210237285941910.00,4/20/2026,160,YES,1,"$13,500 ",5/10/2026,2012
3554,348,Visa,Credit,4877073763902890.00,7/14/2026,786,YES,2,"$13,300 ",6/12/2026,2012
2597,633,Mastercard,Debit,5558040779986500.00,9/21/2026,69,YES,2,"$17,941 ",4/9/2026,2009
3489,1493,Visa,Credit,4642496218651970.00,4/18/2026,594,YES,1,"$14,400 ",6/10/2026,2012
4003,1493,Visa,Credit,4244401907291510.00,4/20/2026,120,YES,1,"$4,400 ",7/12/2026,2012
1469,1493,Mastercard,Credit,5157439545898690.00,3/20/2026,657,YES,1,"$13,000 ",2/20/2026,2020
1774,1493,Visa,Debit,4079516725179260.00,4/23/2026,72,YES,2,"$22,701 ",2/20/2026,2020
1470,1161,Mastercard,Credit,5597117503471640.00,8/24/2026,934,NO,1,"$16,100 ",2/20/2026,2020
1471,1161,Mastercard,Debit,5808372218918200.00,9/23/2026,138,YES,2,"$7,629 ",2/20/2026,2020
2691,217,Mastercard,Debit,5565497732362120.00,3/22/2026,430,NO,1,"$16,538 ",4/12/2026,2012
174,217,Visa,Debit,4072893581482200.00,12/20/2026,578,YES,2,"$22,746 ",1/8/2026,2010
1364,217,Mastercard,Debit,5161929618424760.00,7/16/2026,743,YES,1,"$9,737 ",2/16/2026,2016
1266,217,Mastercard,Credit,5359358098670030.00,7/19/2026,428,YES,1,"$6,500 ",2/11/2026,2014
1267,217,Mastercard,Debit,5093514487076210.00,6/20/2026,889,YES,2,"$2,650 ",2/11/2026,2013
207,217,Visa,Credit,4409790595650710.00,5/12/2026,839,YES,2,"$8,200 ",1/9/2026,2011
5448,217,Amex,Credit,373325875666765.00,1/22/2026,204,YES,2,"$6,200 ",11/6/2026,2013
5449,1877,Amex,Credit,366837170672753.00,1/21/2026,803,YES,2,"$22,600 ",11/6/2026,2014
2107,1877,Mastercard,Debit,5260255791659840.00,5/24/2026,428,YES,2,"$6,940 ",3/6/2026,2009
2398,1877,Mastercard,Debit,5911939393457820.00,3/24/2026,410,YES,2,"$23,408 ",4/1/1996,2008
5414,1877,Visa,Credit,4226284680001630.00,9/22/2026,966,YES,2,"$9,700 ",11/4/2026,2007
3758,668,Mastercard,Debit,5624997997810580.00,6/24/2026,992,NO,2,"$10,538 ",7/6/2026,2006
4097,668,Mastercard,Debit,5752209560237460.00,3/23/2026,385,YES,2,"$6,853 ",8/1/2026,2006
5778,668,Mastercard,Debit,5470018669871080.00,10/20/2026,598,YES,2,$607 ,12/2/2026,2010
4318,668,Mastercard,Credit,5764603958082860.00,8/21/2026,397,YES,1,$0 ,8/10/2026,2010
5015,668,Visa,Debit,4378354586828460.00,6/21/2026,644,YES,2,"$8,253 ",10/4/2026,2011
750,533,Visa,Debit,4415203972868490.00,9/20/2026,847,YES,2,"$8,492 ",1/20/2026,2020
242,203,Visa,Credit,4716309780327850.00,7/22/2026,275,YES,1,"$9,100 ",1/10/2026,2010
3966,203,Mastercard,Credit,5175414290540890.00,4/22/2026,497,NO,2,"$2,600 ",7/11/2026,2011
5375,203,Mastercard,Credit,5079431552272490.00,5/24/2026,813,NO,1,"$7,300 ",11/2/2026,2010
5166,1738,Visa,Credit,4841586209388610.00,8/20/2026,207,YES,1,"$15,000 ",10/9/2026,2009
1472,1738,Mastercard,Credit,5133341979041600.00,4/24/2026,497,YES,2,"$18,700 ",2/20/2026,2020
751,1738,Visa,Debit,4044685132149960.00,5/21/2026,579,YES,1,"$21,458 ",1/20/2026,2020
5623,1738,Visa,Credit,4825181289428260.00,4/20/2026,635,NO,1,"$15,700 ",11/10/2026,2014
6099,713,Mastercard,Debit,5533057740649370.00,1/20/2026,13,YES,2,"$20,765 ",12/14/2026,2014
1473,713,Mastercard,Debit,5137811039972620.00,6/22/2026,170,NO,2,"$18,101 ",2/20/2026,2020
1775,713,Visa,Credit,4409545480052950.00,11/24/2026,528,YES,1,"$8,400 ",2/20/2026,2020
447,713,Mastercard,Debit,5169705466479210.00,3/20/2026,66,YES,1,"$1,737 ",1/20/2026,2020
1474,1631,Mastercard,Credit,5782138554730430.00,2/20/2026,217,YES,2,"$20,900 ",2/20/2026,2020
1776,1631,Visa,Credit,4450097042295690.00,11/21/2026,601,YES,1,"$23,700 ",2/20/2026,2020
448,1631,Mastercard,Credit,5298079382002760.00,11/21/2026,989,YES,1,"$17,500 ",1/20/2026,2020
5978,1487,Visa,Debit,4911894810892310.00,6/24/2026,769,YES,1,"$26,083 ",12/9/2026,2009
2978,1487,Visa,Debit,4394014058373530.00,10/22/2026,943,YES,1,"$31,589 ",5/8/2026,2008
4946,1487,Visa,Credit,4984110253172320.00,6/21/2026,453,YES,2,"$24,200 ",10/1/2000,2013
1475,1265,Mastercard,Debit,5658875071888530.00,2/20/2026,190,YES,2,"$18,321 ",2/20/2026,2020
5376,370,Mastercard,Debit,5377126168537130.00,10/22/2026,94,YES,2,"$7,551 ",11/2/2026,2010
4127,370,Mastercard,Debit,5606824501502070.00,6/14/2026,451,YES,1,"$15,377 ",8/4/2026,2011
5093,370,Visa,Debit,4501704511432200.00,3/23/2026,324,YES,1,"$12,990 ",10/7/2026,2016
3490,370,Visa,Debit,4015096339812700.00,2/23/2026,494,YES,1,"$8,509 ",6/10/2026,2010
5702,1014,Visa,Debit,4467199760802870.00,11/14/2026,176,YES,1,"$96,907 ",11/14/2026,2014
2200,1014,Visa,Credit,4081474027835140.00,7/15/2026,45,YES,1,"$43,900 ",3/8/2026,2013
5436,1014,Visa,Debit (Prepaid),4868297041449160.00,10/20/2026,440,YES,2,$76 ,11/5/2026,2007
